category_id,category_name
CA001,Category 1
CA002,Category 2
CA003,Category 3
CA004,Category 4
CA005,Category 5
CA006,Category 6
CA007,Category 7
CA008,Category 8
CA009,Category 9
CA010,Category 10
CA011,Category 11
CA012,Category 12
CA013,Category 13
CA014,Category 14
CA015,Category 15
CA016,Category 16
CA017,Category 17
CA018,Category 18
CA019,Category 19
CA020,Category 20
CA021,Category 21
CA022,Category 22
CA023,Category 23
CA024,Category 24
CA025,Category 25
CA026,Category 26
CA027,Category 27
CA028,Category 28
CA029,Category 29
CA030,Category 30
CA031,Category 31
CA032,Category 32
CA033,Category 33
CA034,Category 34
CA035,Category 35
CA036,Category 36
CA037,Category 37
CA038,Category 38
CA039,Category 39
CA040,Category 40
CA041,Category 41
CA042,Category 42
CA043,Category 43
CA044,Category 44
CA045,Category 45
CA046,Category 46
CA047,Category 47
CA048,Category 48
CA049,Category 49
CA050,Category 50
